TXNAME	GENEID
XM_002177227.1	PHATRDRAFT_8840
XM_002176724.1	PHATRDRAFT_31942
XM_002176725.1	PHATRDRAFT_42848
XM_002177228.1	PHATRDRAFT_9509
XM_002176726.1	PHATRDRAFT_42850
XM_002177229.1	PHATRDRAFT_6288
XM_002176727.1	PHATRDRAFT_42851
XM_002177230.1	PHATRDRAFT_31948
XM_002176728.1	PHATRDRAFT_9491
XM_002177231.1	PHATRDRAFT_9649
XM_002177232.1	PHATRDRAFT_9312
XM_002177233.1	PHATRDRAFT_42854
XM_002176729.1	PHATRDRAFT_9400
XM_002177234.1	PHATRDRAFT_42856
XM_002176730.1	PHATRDRAFT_42857
XM_002177235.1	PHATRDRAFT_42858
XM_002176731.1	PHATRDRAFT_51406
XM_002177236.1	PHATRDRAFT_42861
XM_002177237.1	PHATRDRAFT_51407
XM_002177238.1	PHATRDRAFT_42864
XM_002176732.1	PHATRDRAFT_9070
XM_002177239.1	PHATRDRAFT_31963
XM_002176733.1	PHATRDRAFT_56605
XM_002177240.1	PHATRDRAFT_42866
XM_002176734.1	PHATRDRAFT_42867
XM_002177241.1	PHATRDRAFT_42868
XM_002176735.1	PHATRDRAFT_31968
XM_002177242.1	PHATRDRAFT_8963
XM_002177243.1	PHATRDRAFT_42870
XM_002177244.1	PHATRDRAFT_42871
XM_002176736.1	PHATRDRAFT_42872
XM_002177245.1	PHATRDRAFT_31973
XM_002176737.1	PHATRDRAFT_42874
XM_002176738.1	PHATRDRAFT_31975
XM_002177246.1	PHATRDRAFT_42876
XM_002176739.1	PHATRDRAFT_8876
XM_002177247.1	PHATRDRAFT_24748
XM_002176740.1	PHATRDRAFT_31979
XM_002177248.1	PHATRDRAFT_31980
XM_002176741.1	PHATRDRAFT_31981
XM_002177249.1	PHATRDRAFT_31982
XM_002176742.1	PHATRDRAFT_42879
XM_002176743.1	PHATRDRAFT_31984
XM_002177250.1	PHATRDRAFT_42880
XM_002176744.1	PHATRDRAFT_31986
XM_002177251.1	PHATRDRAFT_31987
XM_002176745.1	PHATRDRAFT_42881
XM_002177252.1	PHATRDRAFT_42882
XM_002176746.1	PHATRDRAFT_42883
XM_002177253.1	PHATRDRAFT_31991
XM_002176747.1	PHATRDRAFT_42884
XM_002176748.1	PHATRDRAFT_8842
XM_002177254.1	PHATRDRAFT_42886
XM_002176749.1	PHATRDRAFT_42887
XM_002176750.1	PHATRDRAFT_42888
XM_002177255.1	PHATRDRAFT_31997
XM_002176751.1	PHATRDRAFT_17628
XM_002176752.1	PHATRDRAFT_31999
XM_002177256.1	PHATRDRAFT_9115
XM_002176753.1	PHATRDRAFT_42891
XM_002177257.1	PHATRDRAFT_42892
XM_002176754.1	PHATRDRAFT_42893
XM_002177258.1	PHATRDRAFT_9446
XM_002176755.1	PHATRDRAFT_42895
XM_002177259.1	PHATRDRAFT_42896
XM_002177260.1	PHATRDRAFT_42897
XM_002176756.2	PHATRDRAFT_51412
XM_002177261.1	PHATRDRAFT_17633
XM_002176757.1	PHATRDRAFT_42900
XM_002177262.1	PHATRDRAFT_42902
XM_002176758.1	PHATRDRAFT_42903
XM_002177263.1	PHATRDRAFT_32014
XM_002176759.1	PHATRDRAFT_42904
XM_002177264.1	PHATRDRAFT_7108
XM_002177265.1	PHATRDRAFT_42906
XM_002176760.1	PHATRDRAFT_42907
